	qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	nident	sname
153	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_3386	tr|C9JH43|C9JH43_HUMAN	100.0	5	0	0	1	5	113	117	88.0	17.3	5	tr|C9JH43|C9JH43_HUMAN Neuronal cell adhesion molecule (Fragment) OS=Homo sapiens OX=9606 GN=NRCAM PE=1 SV=1
160	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_3477	tr|H7C2J6|H7C2J6_HUMAN	100.0	5	0	0	1	5	571	575	29.0	18.5	5	tr|H7C2J6|H7C2J6_HUMAN Transient receptor potential cation channel subfamily V member 5 (Fragment) OS=Homo sapiens OX=9606 GN=TRPV5 PE=1 SV=2
161	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_3477	tr|A0A0A6YY98|A0A0A6YY98_HUMAN	100.0	5	0	0	1	5	626	630	30.0	18.5	5	tr|A0A0A6YY98|A0A0A6YY98_HUMAN Transient receptor potential cation channel subfamily V member 5 OS=Homo sapiens OX=9606 GN=TRPV5 PE=1 SV=1
162	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_3477	tr|A0A1X7SBT1|A0A1X7SBT1_HUMAN	100.0	5	0	0	1	5	666	670	45.0	18.1	5	tr|A0A1X7SBT1|A0A1X7SBT1_HUMAN Transient receptor potential cation channel subfamily V member 6 OS=Homo sapiens OX=9606 GN=TRPV6 PE=1 SV=1
163	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_3477	tr|A0A0G2JMR5|A0A0G2JMR5_HUMAN	100.0	5	0	0	1	5	626	630	45.0	18.1	5	tr|A0A0G2JMR5|A0A0G2JMR5_HUMAN Transient receptor potential cation channel subfamily V member 6 OS=Homo sapiens OX=9606 GN=TRPV6 PE=1 SV=1
164	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_3478	tr|F8VPD4|F8VPD4_HUMAN	100.0	5	0	0	1	5	770	774	49.0	18.1	5	tr|F8VPD4|F8VPD4_HUMAN Aspartate carbamoyltransferase OS=Homo sapiens OX=9606 GN=CAD PE=1 SV=1
165	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_3478	tr|H7C2J6|H7C2J6_HUMAN	100.0	5	0	0	1	5	572	576	75.0	17.3	5	tr|H7C2J6|H7C2J6_HUMAN Transient receptor potential cation channel subfamily V member 5 (Fragment) OS=Homo sapiens OX=9606 GN=TRPV5 PE=1 SV=2
166	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_3478	tr|A0A0A6YY98|A0A0A6YY98_HUMAN	100.0	5	0	0	1	5	627	631	91.0	16.9	5	tr|A0A0A6YY98|A0A0A6YY98_HUMAN Transient receptor potential cation channel subfamily V member 5 OS=Homo sapiens OX=9606 GN=TRPV5 PE=1 SV=1
167	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_3479	tr|A0A182DWE9|A0A182DWE9_HUMAN	100.0	5	0	0	1	5	157	161	71.0	17.3	5	tr|A0A182DWE9|A0A182DWE9_HUMAN HLA class II histocompatibility antigen DP beta chain OS=Homo sapiens OX=9606 GN=HLA-DPB1 PE=1 SV=1
168	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_3479	tr|Q5EP54|Q5EP54_HUMAN	100.0	5	0	0	1	5	157	161	75.0	17.3	5	tr|Q5EP54|Q5EP54_HUMAN HLA class II histocompatibility antigen DP beta chain OS=Homo sapiens OX=9606 GN=HLA-DPB1 PE=1 SV=1
169	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_3479	tr|A0A140T8Z3|A0A140T8Z3_HUMAN	100.0	5	0	0	1	5	127	131	89.0	17.3	5	tr|A0A140T8Z3|A0A140T8Z3_HUMAN HLA class II histocompatibility antigen, DP beta 1 chain OS=Homo sapiens OX=9606 GN=HLA-DPB1 PE=1 SV=1
170	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_3479	tr|A0A140T9T6|A0A140T9T6_HUMAN	100.0	5	0	0	1	5	127	131	94.0	16.9	5	tr|A0A140T9T6|A0A140T9T6_HUMAN HLA class II histocompatibility antigen, DP beta 1 chain OS=Homo sapiens OX=9606 GN=HLA-DPB1 PE=1 SV=1
171	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_3479	tr|A0A0G2JJV3|A0A0G2JJV3_HUMAN	100.0	5	0	0	1	5	127	131	94.0	16.9	5	tr|A0A0G2JJV3|A0A0G2JJV3_HUMAN HLA class II histocompatibility antigen, DP beta 1 chain OS=Homo sapiens OX=9606 GN=HLA-DPB1 PE=1 SV=1
172	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_3479	tr|A0A140T9Y2|A0A140T9Y2_HUMAN	100.0	5	0	0	1	5	124	128	95.0	16.9	5	tr|A0A140T9Y2|A0A140T9Y2_HUMAN HLA class II histocompatibility antigen, DP beta 1 chain (Fragment) OS=Homo sapiens OX=9606 GN=HLA-DPB1 PE=1 SV=1
173	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_3479	tr|A0A182DWF4|A0A182DWF4_HUMAN	100.0	5	0	0	1	5	127	131	95.0	16.9	5	tr|A0A182DWF4|A0A182DWF4_HUMAN HLA class II histocompatibility antigen, DP beta 1 chain OS=Homo sapiens OX=9606 GN=HLA-DPB1 PE=1 SV=1
174	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_3479	tr|A0A0G2JII1|A0A0G2JII1_HUMAN	100.0	5	0	0	1	5	127	131	95.0	16.9	5	tr|A0A0G2JII1|A0A0G2JII1_HUMAN HLA class II histocompatibility antigen, DP beta 1 chain OS=Homo sapiens OX=9606 GN=HLA-DPB1 PE=1 SV=1
175	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_3479	tr|A0A140T9P7|A0A140T9P7_HUMAN	100.0	5	0	0	1	5	124	128	99.0	16.9	5	tr|A0A140T9P7|A0A140T9P7_HUMAN HLA class II histocompatibility antigen, DP beta 1 chain (Fragment) OS=Homo sapiens OX=9606 GN=HLA-DPB1 PE=1 SV=1
176	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_3480	tr|A0A2R8Y7Q1|A0A2R8Y7Q1_HUMAN	100.0	5	0	0	1	5	332	336	51.0	17.7	5	tr|A0A2R8Y7Q1|A0A2R8Y7Q1_HUMAN Nucleosome-remodeling factor subunit BPTF OS=Homo sapiens OX=9606 GN=BPTF PE=1 SV=1
177	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_3480	tr|E9PE19|E9PE19_HUMAN	100.0	5	0	0	1	5	332	336	51.0	17.7	5	tr|E9PE19|E9PE19_HUMAN Nucleosome-remodeling factor subunit BPTF OS=Homo sapiens OX=9606 GN=BPTF PE=1 SV=3
178	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_3480	tr|E7ETD6|E7ETD6_HUMAN	100.0	5	0	0	1	5	332	336	51.0	17.7	5	tr|E7ETD6|E7ETD6_HUMAN Nucleosome-remodeling factor subunit BPTF (Fragment) OS=Homo sapiens OX=9606 GN=BPTF PE=1 SV=3
179	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_3480	tr|F5GXF5|F5GXF5_HUMAN	100.0	5	0	0	1	5	471	475	51.0	17.7	5	tr|F5GXF5|F5GXF5_HUMAN Nucleosome-remodeling factor subunit BPTF (Fragment) OS=Homo sapiens OX=9606 GN=BPTF PE=1 SV=2
180	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_3480	tr|A0A0A0MR81|A0A0A0MR81_HUMAN	100.0	5	0	0	1	5	332	336	51.0	17.7	5	tr|A0A0A0MR81|A0A0A0MR81_HUMAN Nucleosome-remodeling factor subunit BPTF OS=Homo sapiens OX=9606 GN=BPTF PE=1 SV=1
181	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_3499	tr|A0A494C100|A0A494C100_HUMAN	100.0	5	0	0	1	5	199	203	90.0	16.9	5	tr|A0A494C100|A0A494C100_HUMAN DNA helicase OS=Homo sapiens OX=9606 PE=3 SV=1
185	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_339	tr|Q8IX33|Q8IX33_HUMAN	100.0	5	0	0	1	5	391	395	99.0	16.9	5	tr|Q8IX33|Q8IX33_HUMAN Hepatocellular carcinoma-associated antigen HCA108 OS=Homo sapiens OX=9606 GN=ZNF296 PE=1 SV=1
187	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_340	tr|A0A669KAV7|A0A669KAV7_HUMAN	100.0	5	0	0	1	5	1283	1287	26.0	18.9	5	tr|A0A669KAV7|A0A669KAV7_HUMAN Protein Wiz OS=Homo sapiens OX=9606 GN=WIZ PE=1 SV=1
188	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_340	tr|A0A669KAV7|A0A669KAV7_HUMAN	100.0	5	0	0	1	5	1467	1471	26.0	18.9	5	tr|A0A669KAV7|A0A669KAV7_HUMAN Protein Wiz OS=Homo sapiens OX=9606 GN=WIZ PE=1 SV=1
190	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_340	tr|A0A2R8YFV2|A0A2R8YFV2_HUMAN	100.0	5	0	0	1	5	1093	1097	26.0	18.9	5	tr|A0A2R8YFV2|A0A2R8YFV2_HUMAN Protein Wiz OS=Homo sapiens OX=9606 GN=WIZ PE=1 SV=1
191	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_340	tr|A0A2R8YFV2|A0A2R8YFV2_HUMAN	100.0	5	0	0	1	5	1277	1281	26.0	18.9	5	tr|A0A2R8YFV2|A0A2R8YFV2_HUMAN Protein Wiz OS=Homo sapiens OX=9606 GN=WIZ PE=1 SV=1
193	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_340	tr|A0A669KBH9|A0A669KBH9_HUMAN	100.0	5	0	0	1	5	460	464	26.0	18.9	5	tr|A0A669KBH9|A0A669KBH9_HUMAN Protein Wiz OS=Homo sapiens OX=9606 GN=WIZ PE=1 SV=1
194	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_340	tr|A0A669KBH9|A0A669KBH9_HUMAN	100.0	5	0	0	1	5	644	648	26.0	18.9	5	tr|A0A669KBH9|A0A669KBH9_HUMAN Protein Wiz OS=Homo sapiens OX=9606 GN=WIZ PE=1 SV=1
195	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_340	tr|M0QXA7|M0QXA7_HUMAN	100.0	5	0	0	1	5	362	366	26.0	18.9	5	tr|M0QXA7|M0QXA7_HUMAN Protein Wiz OS=Homo sapiens OX=9606 GN=WIZ PE=1 SV=1
196	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_340	tr|M0QXA7|M0QXA7_HUMAN	100.0	5	0	0	1	5	546	550	26.0	18.9	5	tr|M0QXA7|M0QXA7_HUMAN Protein Wiz OS=Homo sapiens OX=9606 GN=WIZ PE=1 SV=1
197	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_340	tr|A0A669KBG4|A0A669KBG4_HUMAN	100.0	5	0	0	1	5	327	331	26.0	18.9	5	tr|A0A669KBG4|A0A669KBG4_HUMAN Protein Wiz OS=Homo sapiens OX=9606 GN=WIZ PE=1 SV=1
198	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_340	tr|A0A669KBG4|A0A669KBG4_HUMAN	100.0	5	0	0	1	5	511	515	26.0	18.9	5	tr|A0A669KBG4|A0A669KBG4_HUMAN Protein Wiz OS=Homo sapiens OX=9606 GN=WIZ PE=1 SV=1
199	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_340	tr|B9EGQ5|B9EGQ5_HUMAN	100.0	5	0	0	1	5	226	230	26.0	18.9	5	tr|B9EGQ5|B9EGQ5_HUMAN Protein Wiz OS=Homo sapiens OX=9606 GN=WIZ PE=1 SV=1
200	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_340	tr|B9EGQ5|B9EGQ5_HUMAN	100.0	5	0	0	1	5	410	414	26.0	18.9	5	tr|B9EGQ5|B9EGQ5_HUMAN Protein Wiz OS=Homo sapiens OX=9606 GN=WIZ PE=1 SV=1
201	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_340	tr|E7EX82|E7EX82_HUMAN	100.0	5	0	0	1	5	744	748	26.0	18.9	5	tr|E7EX82|E7EX82_HUMAN Polyhomeotic-like protein 3 OS=Homo sapiens OX=9606 GN=PHC3 PE=1 SV=1
202	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_340	tr|D3YTK1|D3YTK1_HUMAN	100.0	5	0	0	1	5	235	239	32.0	18.5	5	tr|D3YTK1|D3YTK1_HUMAN B-cell lymphoma/leukemia 11B OS=Homo sapiens OX=9606 GN=BCL11B PE=1 SV=1
204	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_340	tr|A0A2U3TZJ5|A0A2U3TZJ5_HUMAN	100.0	5	0	0	1	5	345	349	43.0	18.1	5	tr|A0A2U3TZJ5|A0A2U3TZJ5_HUMAN B-cell lymphoma/leukemia 11A OS=Homo sapiens OX=9606 GN=BCL11A PE=1 SV=1
205	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_340	tr|B5MDS3|B5MDS3_HUMAN	100.0	5	0	0	1	5	246	250	57.0	17.7	5	tr|B5MDS3|B5MDS3_HUMAN Zinc finger protein 618 (Fragment) OS=Homo sapiens OX=9606 GN=ZNF618 PE=1 SV=2
206	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_340	tr|A0A0C4DGN9|A0A0C4DGN9_HUMAN	100.0	5	0	0	1	5	148	152	61.0	17.7	5	tr|A0A0C4DGN9|A0A0C4DGN9_HUMAN Zinc finger protein Aiolos OS=Homo sapiens OX=9606 GN=IKZF3 PE=1 SV=1
208	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_340	tr|B1ALC2|B1ALC2_HUMAN	100.0	5	0	0	1	5	234	238	71.0	17.3	5	tr|B1ALC2|B1ALC2_HUMAN Zinc finger protein 618 (Fragment) OS=Homo sapiens OX=9606 GN=ZNF618 PE=1 SV=8
209	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_340	tr|H3BLX4|H3BLX4_HUMAN	100.0	5	0	0	1	5	1359	1363	73.0	17.3	5	tr|H3BLX4|H3BLX4_HUMAN Zinc finger protein 462 (Fragment) OS=Homo sapiens OX=9606 GN=ZNF462 PE=1 SV=1
211	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_340	tr|Q8IX33|Q8IX33_HUMAN	100.0	5	0	0	1	5	364	368	85.0	17.3	5	tr|Q8IX33|Q8IX33_HUMAN Hepatocellular carcinoma-associated antigen HCA108 OS=Homo sapiens OX=9606 GN=ZNF296 PE=1 SV=1
212	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_340	tr|H0YCH4|H0YCH4_HUMAN	100.0	5	0	0	1	5	204	208	97.0	16.9	5	tr|H0YCH4|H0YCH4_HUMAN Zinc finger protein 692 (Fragment) OS=Homo sapiens OX=9606 GN=ZNF692 PE=1 SV=1
213	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_342	tr|B7WPN9|B7WPN9_HUMAN	100.0	5	0	0	1	5	348	352	96.0	16.9	5	tr|B7WPN9|B7WPN9_HUMAN Cation-transporting ATPase OS=Homo sapiens OX=9606 GN=ATP13A4 PE=1 SV=1
214	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_356	tr|I3L2G3|I3L2G3_HUMAN	100.0	5	0	0	1	5	101	105	67.0	17.7	5	tr|I3L2G3|I3L2G3_HUMAN Protein-ribulosamine 3-kinase (Fragment) OS=Homo sapiens OX=9606 GN=FN3KRP PE=1 SV=1
215	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_356	tr|J3QRK4|J3QRK4_HUMAN	100.0	5	0	0	1	5	222	226	75.0	17.3	5	tr|J3QRK4|J3QRK4_HUMAN Axin-2 (Fragment) OS=Homo sapiens OX=9606 GN=AXIN2 PE=1 SV=1
216	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_356	tr|E7ES00|E7ES00_HUMAN	100.0	5	0	0	1	5	222	226	87.0	17.3	5	tr|E7ES00|E7ES00_HUMAN Axin-2 OS=Homo sapiens OX=9606 GN=AXIN2 PE=1 SV=2
217	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_3576	tr|E7ESU0|E7ESU0_HUMAN	100.0	5	0	0	1	5	458	462	92.0	16.9	5	tr|E7ESU0|E7ESU0_HUMAN Ubiquitin carboxyl-terminal hydrolase 19 (Fragment) OS=Homo sapiens OX=9606 GN=USP19 PE=1 SV=2
227	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_3579	tr|H0YBZ2|H0YBZ2_HUMAN	100.0	5	0	0	1	5	181	185	62.0	17.7	5	tr|H0YBZ2|H0YBZ2_HUMAN HLA class II histocompatibility antigen gamma chain (Fragment) OS=Homo sapiens OX=9606 GN=CD74 PE=1 SV=1
229	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_366	tr|A0A5F9ZHA0|A0A5F9ZHA0_HUMAN	100.0	5	0	0	1	5	101	105	63.0	17.7	5	tr|A0A5F9ZHA0|A0A5F9ZHA0_HUMAN Merlin (Fragment) OS=Homo sapiens OX=9606 GN=NF2 PE=1 SV=1
230	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_366	tr|E9PC41|E9PC41_HUMAN	100.0	5	0	0	1	5	130	134	92.0	16.9	5	tr|E9PC41|E9PC41_HUMAN Interleukin-1 receptor-like 1 OS=Homo sapiens OX=9606 GN=IL1RL1 PE=1 SV=1
231	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_368	tr|A0A2R8Y4Q0|A0A2R8Y4Q0_HUMAN	100.0	5	0	0	1	5	199	203	17.0	19.2	5	tr|A0A2R8Y4Q0|A0A2R8Y4Q0_HUMAN DnaJ homolog subfamily C member 21 OS=Homo sapiens OX=9606 GN=DNAJC21 PE=1 SV=1
232	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_368	tr|A0A2R8Y534|A0A2R8Y534_HUMAN	100.0	5	0	0	1	5	199	203	17.0	19.2	5	tr|A0A2R8Y534|A0A2R8Y534_HUMAN DnaJ homolog subfamily C member 21 OS=Homo sapiens OX=9606 GN=DNAJC21 PE=1 SV=1
233	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_368	tr|A0A2R8Y4N5|A0A2R8Y4N5_HUMAN	100.0	5	0	0	1	5	199	203	17.0	19.2	5	tr|A0A2R8Y4N5|A0A2R8Y4N5_HUMAN DnaJ homolog subfamily C member 21 (Fragment) OS=Homo sapiens OX=9606 GN=DNAJC21 PE=1 SV=1
245	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_370	tr|A0A0U1RQF0|A0A0U1RQF0_HUMAN	100.0	5	0	0	1	5	640	644	46.0	18.1	5	tr|A0A0U1RQF0|A0A0U1RQF0_HUMAN 3-hydroxyacyl-[acyl-carrier-protein] dehydratase OS=Homo sapiens OX=9606 GN=FASN PE=1 SV=1
246	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_371	tr|A0A0U1RQF0|A0A0U1RQF0_HUMAN	100.0	5	0	0	1	5	641	645	93.0	16.9	5	tr|A0A0U1RQF0|A0A0U1RQF0_HUMAN 3-hydroxyacyl-[acyl-carrier-protein] dehydratase OS=Homo sapiens OX=9606 GN=FASN PE=1 SV=1
247	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_3761	tr|J3QSX4|J3QSX4_HUMAN	100.0	5	0	0	1	5	101	105	41.0	18.1	5	tr|J3QSX4|J3QSX4_HUMAN Mitotic checkpoint protein BUB3 OS=Homo sapiens OX=9606 GN=BUB3 PE=1 SV=1
248	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_3761	tr|J3QT28|J3QT28_HUMAN	100.0	5	0	0	1	5	101	105	42.0	18.1	5	tr|J3QT28|J3QT28_HUMAN Mitotic checkpoint protein BUB3 (Fragment) OS=Homo sapiens OX=9606 GN=BUB3 PE=1 SV=1
250	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_3764	tr|K7EQ78|K7EQ78_HUMAN	100.0	5	0	0	1	5	227	231	50.0	18.1	5	tr|K7EQ78|K7EQ78_HUMAN P2X purinoceptor OS=Homo sapiens OX=9606 GN=P2RX5 PE=1 SV=1
251	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_3764	tr|B4DEG2|B4DEG2_HUMAN	100.0	5	0	0	1	5	168	172	51.0	17.7	5	tr|B4DEG2|B4DEG2_HUMAN P2X purinoceptor OS=Homo sapiens OX=9606 GN=P2RX5 PE=1 SV=1
252	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_3782	tr|Q7Z7F4|Q7Z7F4_HUMAN	100.0	5	0	0	1	5	123	127	68.0	17.3	5	tr|Q7Z7F4|Q7Z7F4_HUMAN Prestin OS=Homo sapiens OX=9606 GN=SLC26A5 PE=2 SV=1
253	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_3783	tr|C9JNS8|C9JNS8_HUMAN	100.0	5	0	0	1	5	283	287	67.0	17.3	5	tr|C9JNS8|C9JNS8_HUMAN Delphilin OS=Homo sapiens OX=9606 GN=GRID2IP PE=1 SV=1
254	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_3783	tr|C9J5F6|C9J5F6_HUMAN	100.0	5	0	0	1	5	276	280	67.0	17.3	5	tr|C9J5F6|C9J5F6_HUMAN Delphilin OS=Homo sapiens OX=9606 GN=GRID2IP PE=1 SV=1
255	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_3785	tr|H7C3T2|H7C3T2_HUMAN	100.0	5	0	0	1	5	781	785	67.0	17.3	5	tr|H7C3T2|H7C3T2_HUMAN Autophagy-related protein 2 homolog A (Fragment) OS=Homo sapiens OX=9606 GN=ATG2A PE=1 SV=1
256	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_3786	tr|A2ABF9|A2ABF9_HUMAN	100.0	5	0	0	1	5	555	559	54.0	17.7	5	tr|A2ABF9|A2ABF9_HUMAN Histone-lysine N-methyltransferase EHMT2 OS=Homo sapiens OX=9606 GN=EHMT2 PE=1 SV=1
257	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_3786	tr|A0A0G2JK64|A0A0G2JK64_HUMAN	100.0	5	0	0	1	5	555	559	54.0	17.7	5	tr|A0A0G2JK64|A0A0G2JK64_HUMAN Histone-lysine N-methyltransferase EHMT2 OS=Homo sapiens OX=9606 GN=EHMT2 PE=1 SV=1
258	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_3786	tr|A0A1B0GV09|A0A1B0GV09_HUMAN	100.0	5	0	0	1	5	561	565	54.0	17.7	5	tr|A0A1B0GV09|A0A1B0GV09_HUMAN Histone-lysine N-methyltransferase EHMT1 OS=Homo sapiens OX=9606 GN=EHMT1 PE=1 SV=1
259	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_3786	tr|A0A0G2JIR1|A0A0G2JIR1_HUMAN	100.0	5	0	0	1	5	521	525	54.0	17.7	5	tr|A0A0G2JIR1|A0A0G2JIR1_HUMAN Histone-lysine N-methyltransferase EHMT2 OS=Homo sapiens OX=9606 GN=EHMT2 PE=1 SV=1
260	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_3786	tr|A2ABF8|A2ABF8_HUMAN	100.0	5	0	0	1	5	521	525	54.0	17.7	5	tr|A2ABF8|A2ABF8_HUMAN Histone-lysine N-methyltransferase EHMT2 OS=Homo sapiens OX=9606 GN=EHMT2 PE=1 SV=1
261	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_3786	tr|A0A0G2JIS2|A0A0G2JIS2_HUMAN	100.0	5	0	0	1	5	464	468	54.0	17.7	5	tr|A0A0G2JIS2|A0A0G2JIS2_HUMAN Histone-lysine N-methyltransferase EHMT2 OS=Homo sapiens OX=9606 GN=EHMT2 PE=1 SV=1
262	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_3786	tr|A0A1B0GU48|A0A1B0GU48_HUMAN	100.0	5	0	0	1	5	554	558	54.0	17.7	5	tr|A0A1B0GU48|A0A1B0GU48_HUMAN Histone-lysine N-methyltransferase EHMT1 (Fragment) OS=Homo sapiens OX=9606 GN=EHMT1 PE=1 SV=1
263	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_3786	tr|A0A0G2JRN8|A0A0G2JRN8_HUMAN	100.0	5	0	0	1	5	210	214	54.0	17.7	5	tr|A0A0G2JRN8|A0A0G2JRN8_HUMAN Histone-lysine N-methyltransferase EHMT2 (Fragment) OS=Homo sapiens OX=9606 GN=EHMT2 PE=1 SV=1
264	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_3786	tr|A0A0G2JRR0|A0A0G2JRR0_HUMAN	100.0	5	0	0	1	5	176	180	54.0	17.7	5	tr|A0A0G2JRR0|A0A0G2JRR0_HUMAN Histone-lysine N-methyltransferase EHMT2 (Fragment) OS=Homo sapiens OX=9606 GN=EHMT2 PE=1 SV=1
265	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_3786	tr|A0A0C4DGF8|A0A0C4DGF8_HUMAN	100.0	5	0	0	1	5	211	215	54.0	17.7	5	tr|A0A0C4DGF8|A0A0C4DGF8_HUMAN Histone-lysine N-methyltransferase EHMT1 (Fragment) OS=Homo sapiens OX=9606 GN=EHMT1 PE=1 SV=1
266	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_3786	tr|A0A1W2PPZ7|A0A1W2PPZ7_HUMAN	100.0	5	0	0	1	5	315	319	55.0	17.7	5	tr|A0A1W2PPZ7|A0A1W2PPZ7_HUMAN Histone-lysine N-methyltransferase EHMT1 (Fragment) OS=Homo sapiens OX=9606 GN=EHMT1 PE=1 SV=1
267	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_3793	tr|Q9H5V0|Q9H5V0_HUMAN	100.0	5	0	0	1	5	12	16	86.0	17.3	5	tr|Q9H5V0|Q9H5V0_HUMAN RNA binding motif (RNP1, RRM) protein 3, isoform CRA_b OS=Homo sapiens OX=9606 GN=RBM3 PE=2 SV=1
268	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_4081	tr|E9PBK1|E9PBK1_HUMAN	100.0	5	0	0	1	5	61	65	89.0	17.3	5	tr|E9PBK1|E9PBK1_HUMAN ATP-binding cassette sub-family A member 12 OS=Homo sapiens OX=9606 GN=ABCA12 PE=4 SV=1
269	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_4122	tr|F5H7G2|F5H7G2_HUMAN	100.0	5	0	0	1	5	77	81	93.0	16.9	5	tr|F5H7G2|F5H7G2_HUMAN Repulsive guidance molecule A OS=Homo sapiens OX=9606 GN=RGMA PE=1 SV=2
270	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_404	tr|A0A590UK00|A0A590UK00_HUMAN	100.0	5	0	0	1	5	314	318	92.0	16.9	5	tr|A0A590UK00|A0A590UK00_HUMAN Guanine nucleotide-binding protein G(s) subunit alpha isoforms short (Fragment) OS=Homo sapiens OX=9606 GN=GNAS PE=1 SV=1
